part_rank,last seen position,churned_trial_users,churned_paid_users,active_paid_users
17,ML Interview Practice::ML Interview Dry-Run Review::77,8,4,9
17,Technical Interview Practice::Technical Interviewing Techniques::78,3,1,
17,ML Interview Practice::ML Interview Dry-Run Review::78,8,4,9
17,Technical Interview Practice::Project Prep::79,7,5,12
18,Technical Interview Practice::Introduction and Efficiency::78,11,2,8
18,Technical Interview Practice::List-Based Collections::79,3,1,7
18,ML Interview Practice::Getting an Interview::80,8,,6
18,Technical Interview Practice::Searching and Sorting::80,7,1,7
18,ML Interview Practice::What to Expect at an Interview::81,1,1,2
18,Technical Interview Practice::Maps and Hashing::81,,1,1
18,Technical Interview Practice::Trees::82,2,2,5
18,ML Interview Practice::Practice Behavioral Questions::82,,,4
18,ML Interview Practice::ML Mock Interview::83,4,6,8
18,Technical Interview Practice::Graphs::83,1,,4
18,Technical Interview Practice::Case Studies in Algorithms::84,1,1,1
18,ML Interview Practice::Interview Fails::84,1,,1
18,ML Interview Practice::After the Interview::85,,2,
18,Technical Interview Practice::Technical Interviewing Techniques::85,3,1,
18,Technical Interview Practice::Project Prep::86,7,5,12
18,ML Interview Practice::ML Interview Dry-Run Review::86,8,4,9
19,ML Interview Practice::Getting an Interview::87,8,,6
19,ML Interview Practice::What to Expect at an Interview::88,1,1,2
19,ML Interview Practice::Practice Behavioral Questions::89,,,4
19,ML Interview Practice::ML Mock Interview::90,4,6,8
19,ML Interview Practice::Interview Fails::91,1,,1
19,ML Interview Practice::After the Interview::92,,2,
19,ML Interview Practice::ML Interview Dry-Run Review::93,8,4,9
